Tweet,Sentiment
Where are all the Pakistani institutions                ,neu
 Shameful Boot Polishing    how about leaving no stone unturned hold   amp   provential Gov to account for mismanagement of sindh for decades    ,neg
What a drama          ,neu
 Diesel zaman   garm  krty howe       ,neg
PDM                             ,neu
 Shameful Boot Polishing    Criminal  who should be behind bars for the rest of his life  amp  all his looted assests seized    ,neg
Neutrals still insistent on their blunder      ,neu
We need elections  Imran Khan is my leader       ,neg
All prayers and hopes from Allah for His rehmat      ,neu
Ek gaana aap bhi gaa lein pti ke liye  iss mein sarhne wali kya baat hai     ,neu
Huge love for   And respect for everyone who stands behind skipper IK   its a journey of Haqeqi Freedom till the time  is back on chair to led pakistan       ,neg
 I wish karma would hit PDM this instantly too      ,neg
 Bot signing in  Iss bot ki taraf se aap ko dheron lanat          ,neu
 Share this with plastic maryam safdar  She should read this article  ,neg
Dollar at its highest                  ,neu
 will be relieved  Everybody here who matters is hoping for that       ,neu
 Nawaz sharif takes funding from Usama bin Ladin   Bilawal             ,neg
Oh yess exactly      ,neu
Congrats Pakistanio  USD has scored     runs today       ,neu
Have you ever seen in the world that an Army Chief of the country is working as a finance minister and discussing loans with other countries            ,neu
 Nawaz sharif takes funding from Usama bin Ladin   Bilawal             ,neg
Dollar        ,neu
  Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
You are facilitator of all this mess Bajwa sahab           ,neu
 Nawaz sharif takes funding from Usama Bin Ladin   Bilawal            ,neg
 Thanks for doing this    such an obvious difference  IK is a leader and takes action whereas SS sits there and cries  Shabaz Sharif is drowning the country with his incompetence   FYI   ,neg
We need elections  Imran Khan is my leader       ,neg
 The legendary  has united Pakistanis into one proud  amp  resilient nation  May Allah keep him to lead the nation again as PM      ,neu
Ya Allah madad           ,neu
How the current Chief Election Commission was appointed  Do listen and share          ,neu
 This is the same govt that spent tens of millions on a swimming pool but are silent in a flood crisis  Absolute shame on them            ,neu
On the other hand  this imp Govt have been selected by America         ,neg
As the no motion confidence was illegal  the results are illegal as well  This imported Govt is illegal       ,neg
Maryam Nawaz is not in the Givernment  On what grounds does she come and speak on the Govt s behalf        ,neg
  We Want Imran Khan  ,neg
             Rejects   of  Gov for SAYING   amp  Pursuing Independent  Wanting to be Partners in Peace Not in WaR       NeedsElections    ,neg
 O baba rupia kidr ja raha hai   Usko kuch karo        months ma  ka kabara kar diya hai tm ne   Zindabad NeedsElections,neg
PmlN ko   bandha nae mila is Qabil k wo State Bank ka governor mukarar kr sakhe  ya wo lagana nae chate  take mukl ka zaida se zaida pasaya dollar   me convert kr k mulk se bhir bijwa ja sakhe        Ab faisle ki ghri ha      ,neg
Why is Shehbaz Sharif and his government not doing anything about this  They are just concerned about themselves and their kids as always  Why bother taking care of the common man        ,neg
The Imported Government needs to announce elections  It s not fit to run our country  Shehbaz Sharif should resign                 ,neg
Toh court main pesh hone se kyu darta ta   Logon ko bewaqoof samja hua hai in sub ne  Enough is enough     ,neu
Dollar at Rs      Open Market Rate  Don t know where we are heading  extreme tough times ahead  Dear Policy makers  Late Actions would be of no use  market needs certainty  confidence  and stability in National Policies     ,neu
We need elections  Imran Khan is my leader       ,neg
 Shameful Boot Polishing    hoisted by your own petard after VONC you shouldve gone straight to elections instead you acted upon Foreign script      ,neg
 IK is love         ,neg
 Pti celebrations at Hashtnagri chowk     ,neu
  plain  amp  simple as  last but not the least ,neu
 Shameful Boot Polishing    hoisted by your own petard after VONC you shouldve gone straight to elections instead you acted upon Foreign script      ,neg
 Shameful Boot Polishing    hoisted by your own petard after VONC  shouldve gone straight to elections instead you acted upon Foreign script      ,neg
Pakistan s rupee is one of the world s worst performing currencies  the country s foreign exchange reserves are abysmally low  and it has been unable to attract much needed foreign investment    ,neu
Jidar de khoti othay hi aaan khaloti LOL    ,neu
 Next Election  Imran Khan       ,neg
 Next Election  Imran Khan       ,neg
If hypocrisy had a face     ,neu
 Tarrrrrr        ,neu
   Pakistan Zindabad     ,neu
 U need toys baby     ,neu
 Nikl bhigori tum logon ko InsAllah Allah ibrat ka nisshan bnae ga    ,neu
PrimeMinister          ,neu
Agree   ,neu
Some Useless Celebration                                  ,neu
Most entertaining show I have ever watched  Whole    minutes were full of contradictions  Sethi has lost all his marbles          ,neu
Sawal  Hawn bhai ab is Sundi or Jhaaroo K Mu Walay Ka kia Karna hai     Jawab  Trimmer Lao  Is BKL Ke Baal Kaatain Ga    Dost Mazari   Boss Mainay Apko Bola Kia Hai            ,neu
PTI is in government in over     country  In Sindh  if free and fair elections are conducted PTI will sweep Karachi which is     of Sindh s population  ,neg
This infographic is worth a thousand words  The only party that represents all provinces of Pakistan  regardless of language religion class  is PTI  Balochistan s dynamics are very different       ,neg
  Election  Imran Khan       ,neg
 Abi tu hogya haiii     Take care of Hamza      ,neg
 Dost mazariii  Kaha hai       ,neu
 Za mara      Diesel dy    ,neg
There will be alot more celebrations when we will have  back as PM OF PAKISTAN    ,neu
             Long March now Unstoppable      ,neg
Pakistan needs General elections ASAP  We are heading towards an economic crises  I hope we don t become Srilanka      All this fight for power is only ruining our already crippled economy       ,neg
A quick edit with the  Voiceover on kaptaan s video from today  Hope to see  back on the throne  InshAllah  will be back in the federal government soon          ,neg
             No Thank u   ,neu
             Not possible without ppl like u     ,neu
Our PM only rules   Km        ,neu
 supporters gather at liberty chowk to celebrate   ,neu
Murghi k par nikle hi thay k zibah kardi gayi   Jeet Haq ki       ,neu
Nerves of steel  Congratulations      ,neu
                                                                                                                                              Dedicated to                ,neu
Onwards and upwards from now  InshaAllah  ,neu
geo tv as usual taking only noon leaguies calls                ,neg
Wellcome back to Naya Punjab   ,neg
Welcome back to  Naya Punjab  everyone        We will snatch back our  Naya Pakistan   InshAllah            ,neg
Mubarakkkk  Bosss   more step to take federal now INSHA ALLAH              ,neu
                                                                                                           PDM                                ,neu
Beshak Allah Al haq hai           ,neu
                                  Pooray mulk ke sbr ka imtehan liya jaraha ha       ,neu
Women of  should follow   instead of  and       NeedsElections    ,neg
Surf na kha layna               ,neu
All nation is with you       ,neu
 Ab banda inko kia kahay lafz siyasat or siyasat danon ki izzat inhi logon ki waja se nai hoti hakumat mili to wo ko izzat denay wali tofi ko bhool gay ab achanak phr se wohi tofi market mai la rahay hain     ,neu
Meanwhile in Pakistan     ,neu
We need elections  Imran Khan is my leader       ,neg
  Political Leaders Fazlu JUIF Bilawal PPP Maryam PMLN telling US that       Judges of Supreme Court can t Decide fate of this Country   True But    I mean Really  Who are these   tellers    Joke or truly Shameless   Bakwas ab Bus Bhe kro ,neg
 media explains how use of courts by Army to make run break govts has led to political crisis after Govt decides to object to SC s decision of election of CM of Punjab  istanUnderFascism istanPoliticalCrisis istanNeedsElections istanSharmindaHai  ,neg
A wise man  once predicted the current political scenario of Pakistan  ALL vs ONE       ,neu
 Kya hua Zardari paa jee  paise khatam ho gaye   Ho gaya gadhon  ghorhon ka sauda poora     ,neg
 Inn ke hathyar hee kya hain   Videos ke khazane wali beti       ,neu
Well said anwar masood sahab    hellarious             ,neu
They have nothing to defend that s why they re boycotting tomorrow s session to save their corrupt  amp  incompetent faces  They making people fools but NO MORE        ,neu
Full on propaganda                                               ,neu
Let s get ready for elections Insha ALLAH    Free and Fair Elections  The only way forward      ,neg
Is there any good news yet         ,neu
More delay  continued uncertainty  added chaos  The economy  meanwhile  edges ever closer to the brink  The ONLY sane way forward is the ultimate democratic solution  a free and fair general election  LET  THE  PEOPLE  DECIDE     ,neg
Pakistan need immediate general elections to put county on right path  As a democratic country solution of every problem is fresh mandate      NeedsElections,neg
              Thank u sir     ,neu
Alhamdolillah         ,neu
 Doubtless ,neu
Ab sirf                    ,neu
We need elections  Imran Khan is my leader       ,neg
Lo g Patwari yateem ho gay hain          ,neg
Allah hamare Haal per reham karey agar koi inhe jantey hai tu inki madad karein Allah aap logon ki madad karenge          ,neu
 History is repeating itself    They started this again                 ,neu
Level of Seriousness of all stakeholders for cleaning up the mess created by them in   a major overhauling is the only way out    NeedsElections  ,neg
  This is the reason behind karachi rains               ,neu
 History is repeating itself    Same drama started again                 ,neu
School concert             ,neu
Jo hua bohat galt tha  hr aurat ka ehtaram zaroori hai  AFSOOS inky jalson main inky he jaisay corrupt kum akal log jaty hain   or   Ab sochain gaye awam or apnay jalsoon main jaty huvy        ,neu
Pakistan assets for sale  Cabinet sign on bill   ,neu
Jawab To Ho Ga Prer Aap De Nahi Paien Gen          ,neu
We need elections  Imran Khan is my leader       ,neg
                                                            PTI                                                                                                                                                   ,neu
THE DIFFERENCE IS CLEAR    PAKISTANIS HAVE GIVEN THEIR VERDICT         ,neu
PAKISTANIS CAME OUT IN LARGE NUMBERS LAST NIGHT ON IMRAN KHAN S CALL         ,neg
            Pakistan s rupee falls fast as default fears intensify  ,neu
Last   months Stabbed in the back by establishment  Betrayed by own MNAs Btryd by BAP Btryd by BNP Btryd by MQM Betrayed by his own MPAs in Punjab Betrayed by PML Mulk theak karne ka theaka Imran khan na live hua     ,neg
  Yeh loliii pop mat do awam   awam ko mat azmao tum logo me gus kar Pahr digiii awam    faisal sunao in barwo ko bagaooooo,neu
Inshallah we will have general elections in October       ,neg
Bajwa s misadventure           ,neu
Apna pakistan bachao ye kutty tou baich kr khud b dafa ho jaen gay aik tinka b kisi ko nhe baichny dain gay             ,neu
 Sir with due respect   No to intervention  but do you really think these tuchay and do takay k politicians are capable of handling this      ,neu
  One can only end up joking about the sad state of affairs  Seing people glorifying Zardari as a hero is only an evidence of the fact that In this morally bankrupt society the only criterion for being glorified is your moral depravity   ,neg
We need elections  Imran Khan is my leader       ,neg
Illegal CM          ,neu
 in             NeedsImranKhan  UnderFascism  NeedsElections,neg
And you people are still doing nothing            ,neu
Afsosss ki bt hai ye ehtijaj ka tarika nai hai kisy aaam admi ka ya govt k kisy chez ko nuqsan pohnchnaa kisy ka haq nai hain    NeedsElections  ,neg
   Immediate Suo Moto action needed against Dost Mazari s UNJUST ruling i e  Hamza Sharif being qualified as Punjab s CM       ,neg
Yes we are all ready khaan Saab        ,neg
it s amazing to see so many influential people on their side openly admitting to horse trading but as always supreme court is sleeping now        ,neu
This should give the Supreme Court another chance to uphold the constitution as they did when Imran Khan had the assembly dissolved    ,neu
Him and his nasal of zardaris are half the cancer we need to be rid of         ,neg
InshAllah          ,neu
We will fight  Pakistan jaag uthou         ,neu
Can  file no confidence against deputy speaker      ,neu
Pakistan ke liey laro         ,neu
Don t let uo tte pressure now  Aaj ki raat Pakistan ke liey qurbaan           ,neu
Confirm lanati h      ,neu
Bajwa s dictatorship     ,neu
 sb please open the supreme court        ,neu
    Well done  tigress         Not only threatened  but also successfully bribed       ,neu
This is just the beginning  the people will eventually come out  tonight  tomorrow or any day  but they surely will take down the system and all these powerful men      ,neu
IK and Pakistanis will fight till the last ball        ,neg
And it s heartbreaking          ,neu
Zardari ko na bhulein sir  Beghairty ki pehnchan hai wou         ,neg
                                                                         IK is love         ,neg
  deputy  speakers   letters        ,neu
Let s hope at least our judiciary has some ghairat left         ,neu
Pakistan needs to come out and fight         ,neg
Maut ke qareeb hou kar bhi akhirat ka dar na raha         ,neu
Farhan saeed is a king           ,neu
Accurately put         ,neu
Where is supreme court         ,neu
 Kya hoga is mulk ka ab  na roky logon ko tabahi machny do agr logon ki jaan jaey ge tw in firaono ki b yaqenan mout hoge ab inko mary bagher kuch nh ho sakta  ,neu
 Baat bana republic sy b aggy nikl gai hai  ,neu
Such a shameful political games in Pak   ,neu
 Shame on you  Your father  Your allies  Shame on this messed up  fake democracy  Shame on those who are playing you      ,neu
Sooo     Kab khulengi adaalat     Ab    bajay khulay na     Or prove kr de ke Pakistan mein aik aisa idara ha Jo bikaa ni ha     ,neu
Banana republic bana dya en logo ne ho  can you reject    votes     ,neu
 What do you think  Jab itnay itnay baray gunnah kartay howay aakhirat yaad nahe aye toh ab ani the      ,neu
 He isn t the only one doing that  Almost everyone in power has done this  Pakistanis and Pakistan s constitution are a joke to them      ,neu
Atizaz Ahsan thinks that this decision was unconstitutional       ,neu
 Not today  Don t expect too much from these courts  They are all on the same page       ,neu
History repeats itself but hopefully this time our people are aware enough to fight against it        ,neu
Zardari is a curse on the people of Pakistan         ,neg
Thank you for standing strong           ,neu
Aaj punjab nahi soega aur InshAllah pura pakistan jaag uthega           ,neu
 Once again     ,neu
Karachi waloun  how can we stand for our money being used to take away our own rights         ,neu
Pakistan ko koi nai rok paega        ,neu
Supreme court of chors only opens for their own ilk         ,neg
Amreeki khat k badlay Ch Shujaat ka khat      ,neg
So  Pervaiz Elahi wasn t allowed to vote for himself  Nice move  Ch Shujaat  Has Zardari ended PMLQ s politics from Punjab after PMLN     ,neg
I wish Dost Mazari was actually this loyal to the law      ,neu
Protest ke call kab ke hai      ,neu
The party head cannot stop its members from voting  Article   A       ,neu
    million people are witnessing this  You people are worthless  Still any doubts      ,neu
Shehbaz Sharif had to drag Zardari on the roads of Lahore  Zardari ended up dragging Hamza Shehbaz      ,neg
Punjab ka dakoo jeetay ya Bail pe release Noon leagui    haarega sirf Pakistan   only solution is new elections    NeedsElections  ,neg
 Allah humein aisay labels se bacha kar rahein  Ameen    ,neu
The deal that was signed between Ch Shujaat PMLQ and Zardari should be disclosed  Pakistanis deserve to know        ,neg
 Do you have another logical explanation  This is not how Ch Shujaat does politics  He would have stepped aside a few days ago and not switched sides at this point  Going against their own family is not PMLNQ like    ,neg
Ch Shujaat has forgotten that PMLQ won these seats cause of seat adjustments with PTI  Pervaiz Elahi was the speaker of the house because of   Moonis Elahi should distance himself from his party at this point   ,neg
Chaudhry Shujaat proved to be the dirtiest of all    Shame          ,neg
Zardari cannot break PMLQ  Ch Shujaat going against Moonish And Pervaiz Elahi on his own  Not likely   It has to be THE ESTABLISHMENT  Period     ,neu
Why is  still in politics  This nation does not deserve him  He should quit and let the country suffer     ,neu
Agreed why should nation tolerate for this bullshit           ,neu
                                                                U know what i mean  ,neu
Arshad Sharif is stating the facts  but Maria Memon and all these types of bloody sick people can t understand           ,neu
Every coward is beginning their running start        ,neu
InshAllah jeet sirf pakistan ki           ,neu
                                               IK is love         ,neg
Aje Pakistan Mai Khandani Siasat ka khatma hone ja rha hai     pm ko awaam ka haq haq daron tak pounch geya Allah tera shukar hai ,neg
          BIG TEST           IMRAN KHAN VS ESTABLISHMENT          ,neu
Big days are ahead of us as a nation ,neu
Ghulam tola     Yeh ha ek khandan k ghulam   paise lete ha hakoomat e Pakistan se aur half he Pakistan ki khidmat ka      ,neg
Games in this country on another level        ,neu
Police shouldn t be allowed into the assembly        ,neu
Let s hope the people s decision is allowed to stand        ,neu
The lenghts these people go to          ,neu
  Civil disobedience     ,neu
 Certificated chairman by sharif family    A very loyal servant of sharif family as we have seen him in      general elections    ,neu
We need elections  Imran Khan is my leader       ,neg
Time is limited for Everyone              ,neu
Yeh kehna ghalat na ho ga ke    Niazi ne in ki taangein utha di hein       ,neg
 Waiting for  to retweet this    ,neu
Zaradi should announce his support for Pervaiz Elahi tomorrow if he fails to gather the majority in the assembly  Best to manipulate him afterwards by backing him now     ,neg
I m looking at you live right now               ,neu
So very unfortunate  Hoes yo prove that                                       There is none a man of substance amongst them       ,neu
We need elections  Imran Khan is my leader       ,neg
 as demanded by the major political party of   Great awareness can be seen thanks to tireless efforts of   Emergence of a modern Islamic welfare state  which is dream of   will show real  to the world   ,neu
    First    ,neu
Respected  please consider request of  representing    as they are ready for                ,neu
A Leader is one who knows the way goes the way  amp  shows the way   J C Maxwell                     ,neu
In  Neutrals  Pakistan  even Fatima Jinnah is a traitor       ,neu
Uncle Bajwa please few drops of polio you also needed        ,neu
The lengths of their cheating is disgusting        ,neu
 and  are significantly correlated with each other  ,neu
Turnout goes above     in Punjab by election  which is highest in Pakistan s by  election electoral history  ,neu
  Pkr    crore  gt  gt  gt  gt  gt  Akhirat   state s sovereignty   Howww       ,neu
 Aisay he aaj Sindh esp  Karachi ka yeh haal nahe  Bari mehnat chaheyay hoti hai toh bring a province to this stage where people don t have access to clean water  gas  sewerage system and electricity     ,neg
 Ha HA HA  They have the majority in the assembly and more than     mandate in Punjab   Why would they bribe someone to not cast his vote   Such liars should come up with something more believable      ,neu
 After increasing Rs      per   litres  reducing the prices by     only isn t an achievement       ,neu
Is Bajwa Nuts              ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
We need elections  Imran Khan is my leader       ,neg
Rome s emperor  the decadent and unpopular Nero   fiddled while Rome burned   The expression has a double meaning  Not only did Nero play music while his people suffered  but he was an ineffectual leader in a time of crisis      ,neu
Let s refresh our memories         ,neu
Age range of PTI supporters       ,neu
Imran Khan is the only undisputed leader in Pakistan  And his tenure was successful and he s the only leader who can resolve current crisis and can resolve our economy once again  Fresh and Fair election is the only option  ,neg
 The biggest mistake is to still not go for elections because of the fear of losing      ,neg
Soon Inshallah with     majority     ,neu
 Subservient Lifafa Chaprasi of Shameful Boot Polishing   what is your strategy other than being a lifafa instead of actual journalism how is that working for you      ,neg
Ex PM  said prevailing economic crisis in   has exposed that the Sharif family  never had any expertise in running economy or administration           NeedsImranKhan  NeedsElections   ,neg
      Goals    ,neu
 PDM and its obsession with Imran Khan         ,neg
Since their properties ain t in Pakistan  the rupee depreciation is increasing their net worth   WE are the ones suffering     is suffering      ,neu
STOP  THIS  MADNESS      ,neu
    Kptaaan is coming back with    rd InshaaaAllah    ,neg
    wher R human rights y don t they allow teacher s to do protest for their rights Such a Brutal Govt  in Pakistan               ,neu
Ye mil jaye tu  ne match hi nhi khelna        ,neu
Foreign powers agenda is clear   Weak economy    Weak Pakistan Point is who is enforcing their agenda        ,neu
 Good one     ,neu
 Sir take a look at this and kindly raise our voice   Today  have introduced a NEW retailer s sale tax    sir kuch sharam baaki hai     shok pura hogaya PM bannay ka apka        ,neu
PSX is more than      point down    whom we have to thank             ,neu
Dollar FREE FALL     ,neu
Fitch Ratings has revised Pakistan s outlook from stable to negative  while affirming its long term foreign currency  LTFC  issuer default rating  IDR  at   B    the leading provider of credit ratings said       ,neu
Me to kehta gana release hojaye aaa aaa dollar neeche aa  i           ,neu
PSX down by more than     points    yesterday     points    US  above PKR        WTF is wrong with decision makers    get above your ego and think of PAKISTAN before its s too late      ,neu
Pakistan at Alarming situation DOLLAR    rs IN OPEN MARKET     ,neu
The dollar Sky Rocketed        ,neu
We need elections  Imran Khan is my leader       ,neg
Interestingly  from   nd of July every single political party of Pakistan  Despite no of seats they possess  would be in power of some shape  federal or Provincial government     ,neu
                                                              Yes                         ,neu
                                                       Yes                         ,neu
Shameful Boot Polishing    hoisted by their own petard after VONC shouldve gone straight to elections instead they acted upon a Foreign script        ,neg
 Shameful Boot Polishing    hoisted by their own petard after VONC shouldve gone straight to elections instead they acted upon a Foreign script        ,neg
 Shameful Boot Polishing    hoisted by their own petard after VONC shouldve gone straight to elections instead they acted upon a Foreign script        ,neg
 Shameful Boot Polishing   Hag    belonged to independs that became Lotas  amp  even with  backing   became PTIs   in dispute  amp    with  went to     ,neg
 What a coincidence  your idol    was also making the same claims today  it seems you are part of the same WhatsApp Group     because ,neu
   What s about Dollar rate       It s your own journalist     ,neu
 This is Zardari Plan               ,neu
 This is Zardari Plan               ,neu
Kal se Ye MONCHON WALA RANA kahan Chupa Hua hai   Rana MUCHHAR  AWAM  ke  ID CARDS n PASSPORTS  to BLOCK KERNA  SHURU KERO     DAMKIYAAN to Bari di thein   BOLTI BUND KIUN HO GYI HAI AB      ,neg
  And in general elections our teams will have to take care of many many more constituencies and polling stations  This was only    seats of a provincial assembly  But definitely  all credit goes to PTI insafians who really watched over each polling station  ,neg
 Salute to all  ppl whom courageous move  amp  actions marks in golden words    KaptaanKa     ,neg
sab Imran Khan sahab ki Meharbani hai    Allah unki mehnat kabhi raigan nahi janay de ga   In sha Allah        ,neg
When injustice becomes law  resistance becomes duty       ,neu
This is the power of Pakistanis with the grace of Allah  Pakistan Zindabad     ,neu
 Don t watch this video  you will regret               ,neu
PKR crashing     at     PSX down     points  ,neu
 IK is love         ,neg
We need elections  Imran Khan is my leader       ,neg
Sharif down  now time to kick out the zardaris as well           ,neg
Lucky             ,neu
SC no longer taking suo motos         ,neu
Kaamyabi Allah deta hai           ,neu
Bagairat insaan hai        ,neu
The games continue on         ,neu
Last ball  July   th       ,neu
Am anticipating for very long time    Zindabad UnderFascism  Zindabad Army         NeedsElections    ,neg
Once a great leader said I believe  There is No God But Allah and we will Fight  Alhmadullilah today time prove it             ,neu
 Wow Congratulations Allah                                    yo     It s not Too Late always to To the Right thing and  to Allah in repentance and Make Pakistan                                 ,neu
Supporters of regime change operation  tonight        ,neu
Please retweet this  so it reaches PTI senior leadership          ,neg
           Pakistan Zindabad    Imran khan Zindabad      ,neg
And today Imran Khan is back again         ,neg
